output,feature_set,model,n_train,n_test,r2,rmse,mae,rmse_mean_base,rmse_pers_base,skill_vs_mean,skill_vs_pers,error_type
Stage2.M3,ctrl+lag,rf,8917,3842,-0.5118,0.3931,0.341,0.9819,0.1762,0.5997,-1.2305,variability
Stage2.M3,ctrl+lag,hgb,8917,3842,-2.3622,0.5862,0.5069,0.9819,0.1762,0.403,-2.3263,variability
Stage2.M5,controlled,ridge,9679,4168,-0.4995,0.1385,0.0901,0.3207,0.1367,0.568,-0.0134,variability
Stage2.M5,controlled,rf,9679,4168,-1.6199,0.1831,0.1449,0.3207,0.1367,0.4289,-0.3396,variability
Stage2.M5,controlled,hgb,9679,4168,-1.506,0.1791,0.1389,0.3207,0.1367,0.4415,-0.3102,variability
Stage2.M5,ctrl+measured,ridge,9679,4168,-3.4672,0.2391,0.1926,0.3207,0.1367,0.2543,-0.7492,variability
Stage2.M5,ctrl+measured,rf,9679,4168,-3.0616,0.228,0.1965,0.3207,0.1367,0.289,-0.6679,variability
Stage2.M5,ctrl+measured,hgb,9679,4168,-2.9502,0.2249,0.1935,0.3207,0.1367,0.2988,-0.6449,variability
Stage2.M5,ctrl+lag,ridge,9270,3993,0.0323,0.0911,0.0682,0.3126,0.1035,0.7087,0.1198,variability
Stage2.M5,ctrl+lag,rf,9270,3993,-0.8923,0.1274,0.0979,0.3126,0.1035,0.5926,-0.2309,variability
Stage2.M5,ctrl+lag,hgb,9270,3993,-1.1135,0.1346,0.1029,0.3126,0.1035,0.5694,-0.3008,variability
Stage2.M7,controlled,ridge,9569,4121,-2.6012,0.2259,0.1914,0.1215,0.1477,-0.8601,-0.5296,belirsiz
Stage2.M7,controlled,rf,9569,4121,-0.2201,0.1315,0.0683,0.1215,0.1477,-0.0827,0.1097,belirsiz
Stage2.M7,controlled,hgb,9569,4121,-0.0732,0.1233,0.0476,0.1215,0.1477,-0.0154,0.165,belirsiz
Stage2.M7,ctrl+measured,ridge,9569,4121,-1.5589,0.1904,0.1374,0.1215,0.1477,-0.568,-0.2894,belirsiz
Stage2.M7,ctrl+measured,rf,9569,4121,-0.2862,0.135,0.0724,0.1215,0.1477,-0.1117,0.0859,belirsiz
Stage2.M7,ctrl+measured,hgb,9569,4121,-0.2465,0.1329,0.0679,0.1215,0.1477,-0.0943,0.1001,belirsiz
Stage2.M7,ctrl+lag,ridge,9111,3925,-2.5051,0.2034,0.1715,0.109,0.1444,-0.8656,-0.409,belirsiz
Stage2.M7,ctrl+lag,rf,9111,3925,-2.9347,0.2155,0.1823,0.109,0.1444,-0.9766,-0.4929,belirsiz
Stage2.M7,ctrl+lag,hgb,9111,3925,-3.9735,0.2423,0.2062,0.109,0.1444,-1.2222,-0.6784,belirsiz
Stage2.M8,controlled,ridge,9129,3933,-0.8897,0.5221,0.4269,0.3798,0.4324,-0.3747,-0.2074,belirsiz
Stage2.M8,controlled,rf,9129,3933,-0.0248,0.3845,0.3107,0.3798,0.4324,-0.0123,0.1108,belirsiz
Stage2.M8,controlled,hgb,9129,3933,-0.1493,0.4072,0.3324,0.3798,0.4324,-0.072,0.0584,belirsiz
Stage2.M8,ctrl+measured,ridge,9129,3933,-0.9014,0.5237,0.4267,0.3798,0.4324,-0.3789,-0.2112,belirsiz
Stage2.M8,ctrl+measured,rf,9129,3933,-1.3917,0.5874,0.401,0.3798,0.4324,-0.5465,-0.3584,belirsiz
Stage2.M8,ctrl+measured,hgb,9129,3933,-0.1577,0.4087,0.3266,0.3798,0.4324,-0.076,0.0549,belirsiz
Stage2.M8,ctrl+lag,ridge,8564,3691,0.1952,0.3424,0.2812,0.3818,0.4336,0.103,0.2102,belirsiz
Stage2.M8,ctrl+lag,rf,8564,3691,0.1062,0.3609,0.2943,0.3818,0.4336,0.0547,0.1676,belirsiz
Stage2.M8,ctrl+lag,hgb,8564,3691,0.0266,0.3766,0.3056,0.3818,0.4336,0.0135,0.1314,belirsiz
Stage2.M9,controlled,ridge,6865,2962,-0.6313,0.4176,0.2452,0.3291,0.4423,-0.2688,0.0559,variability
Stage2.M9,controlled,rf,6865,2962,-0.0222,0.3305,0.105,0.3291,0.4423,-0.0044,0.2526,variability
Stage2.M9,controlled,hgb,6865,2962,-0.0149,0.3294,0.0984,0.3291,0.4423,-0.0008,0.2553,variability
Stage2.M9,ctrl+measured,ridge,6865,2962,-0.1985,0.3579,0.1487,0.3291,0.4423,-0.0876,0.1908,variability
Stage2.M9,ctrl+measured,rf,6865,2962,-0.0194,0.3301,0.1095,0.3291,0.4423,-0.003,0.2537,variability
Stage2.M9,ctrl+measured,hgb,6865,2962,-0.0158,0.3295,0.101,0.3291,0.4423,-0.0013,0.255,variability
Stage2.M9,ctrl+lag,ridge,6252,2700,0.3685,0.0615,0.0445,0.0774,0.0576,0.2059,-0.0679,variability
Stage2.M9,ctrl+lag,rf,6252,2700,0.5463,0.0521,0.0384,0.0774,0.0576,0.3269,0.0948,variability
Stage2.M9,ctrl+lag,hgb,6252,2700,0.5152,0.0539,0.0412,0.0774,0.0576,0.3042,0.0642,variability
Stage2.M10,controlled,ridge,9366,4035,-30.3276,0.3366,0.3,0.0992,0.0706,-2.3911,-3.7667,variability
Stage2.M10,controlled,rf,9366,4035,-0.3422,0.0697,0.0551,0.0992,0.0706,0.2981,0.0134,variability
Stage2.M10,controlled,hgb,9366,4035,-0.1158,0.0635,0.0497,0.0992,0.0706,0.36,0.1004,variability
Stage2.M10,ctrl+measured,ridge,9366,4035,-11.3903,0.2117,0.1808,0.0992,0.0706,-1.1327,-1.9977,variability
Stage2.M10,ctrl+measured,rf,9366,4035,-1.002,0.0851,0.0688,0.0992,0.0706,0.1427,-0.205,variability
Stage2.M10,ctrl+measured,hgb,9366,4035,-0.8977,0.0828,0.0666,0.0992,0.0706,0.1654,-0.1732,variability
Stage2.M10,ctrl+lag,ridge,8981,3870,-0.2428,0.0668,0.053,0.1062,0.0703,0.3708,0.049,variability
